game_date,home_team,away_team,snapshot_time,commence_time,game_id,ml_away,ml_home,num_books,scraped_at,season,source,source_file,source_system,source_type,spread_home,spread_home_juice,total,total_over_juice
2026-07-15,Dallas Wings,New York Liberty,2026-07-17T01:00:00Z,2026-07-17T01:00:00Z,51f9e00bb8d7debd5a922a21f0736e36,101.5,-123.25,8,2026-07-15T15:02:42.198749+00:00,2026,the-odds-api,odds_2026-07-15.csv|odds_historical.csv,repository_raw,odds_2026_07_15|odds_historical,-1.5,-109.62,175.5,-110.12
2026-07-15,Indiana Fever,Golden State Valkyries,2026-07-16T00:10:00Z,2026-07-16T00:10:00Z,8eace0d4309db9d618e7ba857166324b,85.09,-124.0,11,2026-07-15T15:02:42.198706+00:00,2026,the-odds-api,odds_2026-07-15.csv|odds_historical.csv,repository_raw,odds_2026_07_15|odds_historical,-1.41,-110.82,165.95,-110.18
2026-07-15,Minnesota Lynx,Los Angeles Sparks,2026-07-15T17:10:00Z,2026-07-15T17:10:00Z,4db11d33553fba68fc607aaf009071aa,458.82,-648.55,11,2026-07-15T15:02:42.198676+00:00,2026,the-odds-api,odds_2026-07-15.csv|odds_historical.csv,repository_raw,odds_2026_07_15|odds_historical,-11.5,-110.18,181.45,-108.64
2026-07-15,Washington Mystics,Portland Fire,2026-07-16T23:10:00Z,2026-07-16T23:10:00Z,00a997433337939ebda3beb882a1e2db,156.5,-193.0,8,2026-07-15T15:02:42.198728+00:00,2026,the-odds-api,odds_2026-07-15.csv|odds_historical.csv,repository_raw,odds_2026_07_15|odds_historical,-4.94,-109.62,163.94,-108.25
2026-07-16,Chicago Sky,Los Angeles Sparks,2026-07-17T23:30:00Z,2026-07-17T23:30:00Z,4a1af047b50cc335d69665ae9b499206,61.0,-122.4,8,2026-07-16T15:14:23.566059+00:00,2026,the-odds-api,odds_2026-07-16.csv|odds_historical.csv,repository_raw,odds_2026_07_16|odds_historical,-1.5,-109.75,183.38,-110.62
2026-07-16,Dallas Wings,New York Liberty,2026-07-17T01:00:00Z,2026-07-17T01:00:00Z,51f9e00bb8d7debd5a922a21f0736e36,113.0,-134.82,11,2026-07-16T15:14:23.566011+00:00,2026,the-odds-api,odds_2026-07-16.csv|odds_historical.csv,repository_raw,odds_2026_07_16|odds_historical,-1.91,-110.18,176.95,-110.27
2026-07-16,Indiana Fever,Seattle Storm,2026-07-17T23:40:00Z,2026-07-17T23:40:00Z,034012f210532a879b3d1ab5de8306e6,317.0,-419.0,8,2026-07-16T15:14:23.566079+00:00,2026,the-odds-api,odds_2026-07-16.csv|odds_historical.csv,repository_raw,odds_2026_07_16|odds_historical,-8.75,-109.75,173.75,-109.5
2026-07-16,Phoenix Mercury,Connecticut Sun,2026-07-18T02:00:00Z,2026-07-18T02:00:00Z,02c8aae5b168305c60aa6f9c66f443d1,173.5,-214.5,8,2026-07-16T15:14:23.566098+00:00,2026,the-odds-api,odds_2026-07-16.csv|odds_historical.csv,repository_raw,odds_2026_07_16|odds_historical,-5.44,-105.5,163.5,-109.88
2026-07-16,Toronto Tempo,Atlanta Dream,2026-07-17T23:30:00Z,2026-07-17T23:30:00Z,571b28ddb7c28b45b2925d493d2085c8,-316.0,246.0,8,2026-07-16T15:14:23.566035+00:00,2026,the-odds-api,odds_2026-07-16.csv|odds_historical.csv,repository_raw,odds_2026_07_16|odds_historical,7.5,-110.0,182.25,-110.88
2026-07-16,Washington Mystics,Portland Fire,2026-07-16T23:10:00Z,2026-07-16T23:10:00Z,00a997433337939ebda3beb882a1e2db,211.73,-263.0,11,2026-07-16T15:14:23.565952+00:00,2026,the-odds-api,odds_2026-07-16.csv|odds_historical.csv,repository_raw,odds_2026_07_16|odds_historical,-6.5,-108.45,162.73,-109.73
2026-07-17,Chicago Sky,Los Angeles Sparks,2026-07-17T23:30:00Z,2026-07-17T23:30:00Z,4a1af047b50cc335d69665ae9b499206,45.73,-121.0,11,2026-07-17T14:54:19.885709+00:00,2026,the-odds-api,odds_2026-07-17.csv|odds_historical.csv,repository_raw,odds_2026_07_17|odds_historical,-1.15,-108.1,182.86,-109.45
2026-07-17,Golden State Valkyries,Washington Mystics,2026-07-19T00:30:00Z,2026-07-19T00:30:00Z,d24612bd3abe34a240d8fd2f3ced9d4f,303.33,-398.33,6,2026-07-17T14:54:19.885816+00:00,2026,the-odds-api,odds_2026-07-17.csv|odds_historical.csv,repository_raw,odds_2026_07_17|odds_historical,-8.5,-110.0,149.17,-109.67
2026-07-17,Indiana Fever,New York Liberty,2026-07-19T00:00:00Z,2026-07-19T00:00:00Z,cb4f9fb87d3e9c98bee6b12fbd21fdab,-125.0,37.0,6,2026-07-17T14:54:19.885783+00:00,2026,the-odds-api,odds_2026-07-17.csv|odds_historical.csv,repository_raw,odds_2026_07_17|odds_historical,1.67,-110.33,174.08,-109.67
2026-07-17,Indiana Fever,Seattle Storm,2026-07-17T23:40:00Z,2026-07-17T23:40:00Z,034012f210532a879b3d1ab5de8306e6,325.1,-427.0,11,2026-07-17T14:54:19.885739+00:00,2026,the-odds-api,odds_2026-07-17.csv|odds_historical.csv,repository_raw,odds_2026_07_17|odds_historical,-9.41,-109.09,177.0,-109.73
