source_player_id,player,team,team_abbr,position,season,source_system,source_file
1068,Nneka Ogwumike,Storm,SEA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4420318,Ezi Magbegor,Storm,SEA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2491205,Skylar Diggins,Storm,SEA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2987869,Jewell Loyd,Storm,SEA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3142948,Victoria Vivians,Storm,SEA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4432830,Jordan Horston,Storm,SEA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4594527,Dulcy Fankam Mendjiadeu,Storm,SEA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3056672,Mercedes Russell,Storm,SEA,C,2024,sportsdataverse,wehoop_player_box_2024.csv
887,Sami Whitcomb,Storm,SEA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4282168,Kiana Williams,Storm,SEA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4433468,Nika Muhl,Storm,SEA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3917453,Katie Lou Samuelson,Fever,IND,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398776,NaLyssa Smith,Fever,IND,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4432831,Aliyah Boston,Fever,IND,C,2024,sportsdataverse,wehoop_player_box_2024.csv
2491214,Erica Wheeler,Fever,IND,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4433403,Caitlin Clark,Fever,IND,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2569044,Temi Fagbenle,Fever,IND,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3142191,Kelsey Mitchell,Fever,IND,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3156318,Kristy Wallace,Fever,IND,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398899,Grace Berger,Fever,IND,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398752,Victaria Saxton,Fever,IND,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398829,Lexie Hull,Fever,IND,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4432864,Celeste Taylor,Fever,IND,G,2024,sportsdataverse,wehoop_player_box_2024.csv
869,DeWanna Bonner,Sun,CON,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2529140,Alyssa Thomas,Sun,CON,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3058895,Brionna Jones,Sun,CON,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4065760,Tyasha Harris,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4066548,DiJonai Carrington,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3099025,Astou Ndour-Fall,Sun,CON,C,2024,sportsdataverse,wehoop_player_box_2024.csv
4398966,Olivia Nelson-Ododa,Sun,CON,C,2024,sportsdataverse,wehoop_player_box_2024.csv
2566186,Rachel Banham,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2984741,Tiffany Mitchell,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2998927,Moriah Jefferson,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398779,Queen Egbo,Sun,CON,C,2024,sportsdataverse,wehoop_player_box_2024.csv
2998928,Breanna Stewart,Liberty,NY,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2999101,Jonquel Jones,Liberty,NY,C,2024,sportsdataverse,wehoop_player_box_2024.csv
981,Courtney Vandersloot,Liberty,NY,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2593770,Betnijah Laney-Hamilton,Liberty,NY,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4066533,Sabrina Ionescu,Liberty,NY,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2529622,Kayla Thornton,Liberty,NY,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398768,Nyara Sabally,Liberty,NY,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4683006,Leonie Fiebich,Liberty,NY,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3922628,Kennedy Burke,Liberty,NY,G,2024,sportsdataverse,wehoop_player_box_2024.csv
5130672,Ivana Dojkic,Liberty,NY,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4433661,Marquesha Davis,Liberty,NY,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2529183,Stefanie Dolson,Mystics,WSH,C,2024,sportsdataverse,wehoop_player_box_2024.csv
4398911,Shakira Austin,Mystics,WSH,C,2024,sportsdataverse,wehoop_player_box_2024.csv
2988756,Brittney Sykes,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3056730,Karlie Samuelson,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3146151,Ariel Atkins,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3142055,Myisha Hines-Allen,Mystics,WSH,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4433408,Aaliyah Edwards,Mystics,WSH,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2566110,Julie Vanloo,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3058893,Shatori Walker-Kimbrough,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4281253,DiDi Richards,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398729,Emily Engstler,Mystics,WSH,F,2024,sportsdataverse,wehoop_player_box_2024.csv
5017726,Jade Melbourne,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
