game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at,available_books,all_books
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points,UNDER,,Chelsea Gray,PTS,fanduel,FanDuel,12.5,-114,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_rebounds,OVER,,Chelsea Gray,REB,draftkings,DraftKings,2.5,-176,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_rebounds,UNDER,,Chelsea Gray,REB,fanduel,FanDuel,2.5,134,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_threes,OVER,,Jackie Young,3PM,fanduel,FanDuel,2.5,130,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_threes,UNDER,,Jackie Young,3PM,draftkings,DraftKings,2.5,-162,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_assists,OVER,,Jackie Young,AST,fanduel,FanDuel,7.5,110,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_assists,UNDER,,Jackie Young,AST,fanduel,FanDuel,7.5,-146,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points_rebounds_assists,OVER,,Jackie Young,PRA,fanduel,FanDuel,31.5,-104,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points_rebounds_assists,UNDER,,Jackie Young,PRA,draftkings,DraftKings,31.5,-123,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points,OVER,,Jackie Young,PTS,draftkings,DraftKings,19.5,-116,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
