archive_index,date,player,game,stat,alt_line,side,audit_classification,warehouse_game_id,warehouse_date,cardinality,classification,requested_stat_values,unique_requested_stat_values,safe_to_collapse,record_ids,sources,candidate_games,same_player_date_candidate_count,legacy_outcome,legacy_actual
836,2026-07-30,Natasha Howard,Minnesota Lynx @ Toronto Tempo,PR,19.5,UNDER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,WIN,17.0
843,2026-07-30,Sabrina Ionescu,New York Liberty @ Las Vegas Aces,REB,3.5,OVER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,WIN,4.0
844,2026-07-30,Natasha Howard,Minnesota Lynx @ Toronto Tempo,REB,6.5,UNDER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,LOSS,8.0
846,2026-07-30,Courtney Williams,Minnesota Lynx @ Toronto Tempo,PR,15.5,UNDER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,LOSS,19.0
881,2026-08-01,DeWanna Bonner,New York Liberty @ Phoenix Mercury,REB,5.5,OVER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,WIN,7.0
883,2026-08-01,Pauline Astier,New York Liberty @ Phoenix Mercury,REB,2.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,WIN,0.0
885,2026-08-01,NaLyssa Smith,Las Vegas Aces @ Chicago Sky,REB,5.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
887,2026-08-01,Courtney Williams,Indiana Fever @ Minnesota Lynx,AST,3.5,OVER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,WIN,5.0
888,2026-08-01,Elizabeth Williams,Las Vegas Aces @ Chicago Sky,REB,4.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,WIN,3.0
889,2026-08-01,Kamilla Cardoso,Las Vegas Aces @ Chicago Sky,RA,10.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,LOSS,14.0
