archive_index,canonical_game_date,canonical_game_id,date,game,method,player,source,status
672,2026-07-25,401857320,2026-07-25,Atlanta Dream @ Dallas Wings,local_raw_unique_player_game_same_date,Rhyne Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
673,2026-07-25,401857320,2026-07-25,Atlanta Dream @ Dallas Wings,local_raw_unique_player_game_same_date,Rhyne Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
674,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Kayla McBride,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
675,2026-07-25,401857320,2026-07-25,Atlanta Dream @ Dallas Wings,local_raw_unique_player_game_same_date,Rhyne Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
676,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
678,2026-07-25,401857320,2026-07-25,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
679,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
680,2026-07-25,401857320,2026-07-25,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Olivia Miles,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
681,,,2026-07-26,Portland Fire @ Las Vegas Aces,,NaLyssa Smith,,UNRESOLVED_LOCAL
682,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
683,2026-07-25,401857320,2026-07-25,Golden State Valkyries @ Phoenix Mercury,local_raw_unique_player_game_same_date,Kahleah Copper,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
684,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
685,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
686,2026-07-25,401857320,2026-07-25,Portland Fire @ Las Vegas Aces,local_raw_unique_player_game_same_date,A'ja Wilson,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
688,2026-07-25,401857320,2026-07-25,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
689,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Awa Fam,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
