team,stat,position,games_sampled,player_observations,allowed_avg
New York Liberty,AST,G,2,3,3.3333
New York Liberty,PA,G,2,2,20.5
New York Liberty,PR,F,1,1,12.0
New York Liberty,PR,G,3,3,13.3333
New York Liberty,PRA,G,3,3,18.3333
New York Liberty,PTS,G,1,1,15.0
Phoenix Mercury,3PM,F,3,3,0.3333
Phoenix Mercury,AST,F,1,1,7.0
Phoenix Mercury,AST,G,1,1,7.0
Phoenix Mercury,PA,F,1,1,5.0
Phoenix Mercury,PA,G,2,2,24.0
Phoenix Mercury,PR,F,1,1,8.0
Phoenix Mercury,PR,G,4,4,19.5
Phoenix Mercury,PRA,F,1,1,8.0
Phoenix Mercury,PRA,G,4,4,23.5
Phoenix Mercury,PTS,F,1,1,5.0
Phoenix Mercury,PTS,G,3,3,19.0
Phoenix Mercury,RA,F,1,1,15.0
Phoenix Mercury,RA,G,1,1,10.0
Phoenix Mercury,REB,C,1,1,5.0
Phoenix Mercury,REB,F,1,1,3.0
Portland Fire,AST,C,2,2,5.0
Portland Fire,AST,G,3,4,5.25
Portland Fire,PA,C,1,1,23.0
Portland Fire,PA,F,1,1,28.0
Portland Fire,PA,G,4,4,13.25
Portland Fire,PR,C,1,1,22.0
Portland Fire,PR,F,2,2,20.5
Portland Fire,PR,G,2,2,19.0
Portland Fire,PRA,C,1,1,32.0
Portland Fire,PRA,F,1,1,13.0
Portland Fire,PRA,G,2,3,21.3333
Portland Fire,PTS,F,2,2,17.0
Portland Fire,PTS,G,2,3,16.3333
Portland Fire,REB,C,1,1,6.0
Portland Fire,REB,F,1,1,3.0
Seattle Storm,3PM,F,1,1,0.0
Seattle Storm,3PM,G,3,5,2.2
Seattle Storm,AST,F,1,1,1.0
Seattle Storm,AST,G,3,4,3.0
Seattle Storm,PA,F,1,1,24.0
Seattle Storm,PA,G,3,3,34.0
Seattle Storm,PR,F,3,4,12.5
