date,player,game,market,side,line,movement,steam,reverse_move
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,RA,UNDER,9.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,REB,OVER,6.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,REB,OVER,7.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,REB,UNDER,6.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,REB,UNDER,7.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,3PM,OVER,1.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,3PM,UNDER,1.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,AST,OVER,5.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,AST,UNDER,5.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PA,OVER,15.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PA,UNDER,15.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PR,OVER,11.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PR,OVER,12.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PR,UNDER,11.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PR,UNDER,12.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PRA,OVER,17.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PRA,OVER,18.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PRA,UNDER,17.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PRA,UNDER,18.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PTS,OVER,9.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,PTS,UNDER,9.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,RA,OVER,7.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,RA,OVER,8.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,RA,UNDER,7.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,RA,UNDER,8.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,REB,OVER,2.5,0.0,False,False
2026-08-13,Erica Wheeler,Los Angeles Sparks @ New York Liberty,REB,UNDER,2.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,3PM,OVER,1.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,3PM,UNDER,1.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,AST,OVER,2.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,AST,OVER,3.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,AST,UNDER,2.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,AST,UNDER,3.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PA,OVER,17.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PA,UNDER,17.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PR,OVER,23.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PR,UNDER,23.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PRA,OVER,26.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PRA,OVER,27.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PRA,UNDER,26.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PTS,OVER,14.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PTS,OVER,15.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,PTS,UNDER,14.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,RA,OVER,11.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,RA,OVER,12.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,RA,UNDER,11.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,RA,UNDER,12.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,REB,OVER,9.5,0.0,False,False
2026-08-13,Jonquel Jones,Los Angeles Sparks @ New York Liberty,REB,UNDER,9.5,0.0,False,False
2026-08-13,Marine Johannes,Los Angeles Sparks @ New York Liberty,PTS,OVER,7.5,0.0,False,False
2026-08-13,Marine Johannes,Los Angeles Sparks @ New York Liberty,PTS,UNDER,7.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,3PM,OVER,1.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,3PM,UNDER,1.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,AST,OVER,3.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,AST,UNDER,3.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PA,OVER,20.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PA,UNDER,20.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PR,OVER,25.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PR,UNDER,25.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PRA,OVER,28.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PRA,UNDER,28.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PTS,OVER,15.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PTS,OVER,16.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PTS,OVER,17.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,PTS,UNDER,16.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,RA,OVER,11.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,RA,UNDER,11.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,REB,OVER,8.5,0.0,False,False
2026-08-13,Nneka Ogwumike,Los Angeles Sparks @ New York Liberty,REB,UNDER,8.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,AST,OVER,2.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,AST,UNDER,2.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,PA,OVER,10.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,PA,UNDER,10.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,PRA,OVER,12.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,PRA,UNDER,12.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,PTS,OVER,7.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,PTS,OVER,8.5,0.0,False,False
2026-08-13,Pauline Astier,Los Angeles Sparks @ New York Liberty,PTS,UNDER,7.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,3PM,OVER,1.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,3PM,UNDER,1.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,AST,OVER,2.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,AST,UNDER,2.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PA,OVER,18.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PA,UNDER,18.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PR,OVER,18.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PR,UNDER,18.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PRA,OVER,20.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PRA,OVER,21.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PRA,UNDER,21.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PTS,OVER,14.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PTS,OVER,15.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PTS,OVER,16.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,PTS,UNDER,15.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,RA,OVER,5.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,RA,UNDER,5.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,REB,OVER,2.5,0.0,False,False
2026-08-13,Rae Burrell,Los Angeles Sparks @ New York Liberty,REB,UNDER,2.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,3PM,OVER,1.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,3PM,UNDER,1.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,PR,OVER,9.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,PR,OVER,10.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,PR,UNDER,9.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,PR,UNDER,10.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,PTS,OVER,6.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,PTS,OVER,7.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,PTS,UNDER,7.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,REB,OVER,2.5,0.0,False,False
2026-08-13,Rebecca Allen,Los Angeles Sparks @ New York Liberty,REB,UNDER,2.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,3PM,OVER,2.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,3PM,UNDER,2.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,AST,OVER,5.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,AST,UNDER,5.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PA,OVER,24.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PA,UNDER,24.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PR,OVER,23.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PR,UNDER,23.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PRA,OVER,28.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PRA,OVER,29.5,0.0,False,False
