archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,target_win,market_probability,logistic_v5_probability,ridge_linear_probability,empirical_probability,knn_probability,ensemble_probability,train_rows,snapshot_count,book_count,books,opening_line,opening_odds,latest_line,latest_odds,reference_close_line,reference_close_odds,close_quality,line_move,price_move,elapsed_minutes,movement_class,steam_detected,reverse_move_vs_knn,first_moving_book,knn_implied_side
819,2026-07-30,401857101,Pauline Astier,REB,UNDER,2.5,-208.0,1,0.675325,0.779742,0.743062,0.891775,0.729719,0.763722,77,1,0,,2.5,-208.0,2.5,-208.0,2.5,-208.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
833,2026-07-30,401857101,Pauline Astier,PR,UNDER,10.5,-119.0,0,0.543379,0.774257,0.738159,0.847793,0.935489,0.782327,78,1,0,,10.5,-120.0,10.5,-120.0,10.5,-120.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
852,2026-07-31,401857102,Rhyne Howard,PRA,UNDER,25.5,-131.5,1,0.568035,0.789574,0.752705,0.856012,0.680232,0.731645,79,1,0,,24.5,-112.0,24.5,-112.0,24.5,-112.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
853,2026-07-31,401857102,Rhyne Howard,PTS,UNDER,17.5,-131.67,1,0.568352,0.774242,0.735481,0.856117,0.818091,0.756895,80,1,0,,16.5,-116.0,16.5,-116.0,16.5,-116.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
854,2026-07-31,401857102,Rhyne Howard,PTS,UNDER,16.5,-116.0,1,0.537037,0.748563,0.718214,0.845679,0.890019,0.757744,81,1,0,,16.5,-116.0,16.5,-116.0,16.5,-116.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
856,2026-07-31,401857102,Rhyne Howard,PR,UNDER,21.5,-124.5,1,0.554566,0.809503,0.76988,0.851522,0.943005,0.798366,82,1,0,,20.5,-107.0,20.5,-107.0,20.5,-107.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
857,2026-07-31,401857102,Rhyne Howard,PA,UNDER,20.5,-110.5,1,0.524941,0.786711,0.755227,0.841647,0.901822,0.775107,83,1,0,,20.5,-114.0,20.5,-114.0,20.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
861,2026-07-31,401857102,Rhyne Howard,PRA,UNDER,24.5,-107.0,1,0.516908,0.830253,0.796319,0.838969,0.956702,0.804757,84,1,0,,24.5,-112.0,24.5,-112.0,24.5,-112.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
865,2026-07-31,401857103,Azzi Fudd,AST,OVER,1.5,-188.5,0,0.65338,0.735496,0.721821,0.88446,0.720534,0.744465,85,0,0,,,,,,,,UNAVAILABLE,,,,NO_SNAPSHOT_MATCH,False,False,,
867,2026-07-31,401857103,Jessica Shepard,AST,OVER,4.5,-142.5,1,0.587629,0.650846,0.664445,0.862543,0.735832,0.702619,86,1,0,,4.5,-147.0,4.5,-147.0,4.5,-147.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
818,2026-07-31,401857104,Aliyah Boston,RA,UNDER,11.5,-108.0,0,0.519231,0.407035,0.445047,0.617521,0.127711,0.406819,87,1,0,,11.5,-115.0,11.5,-115.0,11.5,-115.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
832,2026-07-31,401857104,Aliyah Boston,REB,UNDER,8.5,-127.75,0,0.560922,0.73067,0.693668,0.853641,0.828117,0.741785,88,1,0,,8.5,-134.0,8.5,-134.0,8.5,-134.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
839,2026-07-31,401857104,Aliyah Boston,3PM,UNDER,1.5,-270.0,1,0.72973,0.353419,0.44129,0.687688,0.650504,0.563394,89,1,0,,1.5,-263.75,1.5,-263.75,1.5,-263.75,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
851,2026-07-31,401857104,Kelsey Mitchell,AST,UNDER,3.5,-217.0,1,0.684543,0.648121,0.621195,0.761514,0.623036,0.663591,90,1,0,,3.5,-217.0,3.5,-217.0,3.5,-217.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
855,2026-07-31,401857104,Aliyah Boston,RA,UNDER,11.5,-115.5,0,0.535963,0.370445,0.428352,0.623099,0.103017,0.394618,91,1,0,,11.5,-115.0,11.5,-115.0,11.5,-115.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
866,2026-07-31,401857104,Aliyah Boston,REB,UNDER,8.5,-138.25,0,0.580273,0.72092,0.69084,0.860091,0.700609,0.711797,92,1,0,,8.5,-134.0,8.5,-134.0,8.5,-134.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
875,2026-07-31,401857104,Aliyah Boston,3PM,UNDER,1.5,-286.5,1,0.741268,0.468887,0.495034,0.691534,0.762114,0.629731,93,1,0,,1.5,-263.75,1.5,-263.75,1.5,-263.75,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
890,2026-08-01,401857105,Natasha Cloud,REB,UNDER,3.5,-168.33,1,0.627325,0.409036,0.465329,0.653553,0.533714,0.53188,94,1,0,,3.5,-161.67,3.5,-161.67,3.5,-161.67,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
