archive_date,archive_game,archive_index,candidate_dates,candidate_event_ids,detail,player,status
,,302,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
2026-07-16,Portland Fire @ Washington Mystics,302,[],[],,Georgia Amoore,AMBIGUOUS_OR_MISSING
,,304,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,304,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,304,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,304,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,304,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,304,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,304,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
2026-07-16,New York Liberty @ Dallas Wings,304,[],[],,Paige Bueckers,AMBIGUOUS_OR_MISSING
,,308,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,308,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,308,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,308,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,308,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,308,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,308,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
2026-07-16,Portland Fire @ Washington Mystics,308,[],[],,Sarah Ashlee Barker,AMBIGUOUS_OR_MISSING
,,423,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
,,423,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,423,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,423,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,423,,,2026-07-20: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260720,,FETCH_ERROR
,,423,,,2026-07-21: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260721,,FETCH_ERROR
,,423,,,2026-07-22: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260722,,FETCH_ERROR
2026-07-19,Washington Mystics @ Golden State Valkyries,423,[],[],,Janelle Salaun,AMBIGUOUS_OR_MISSING
,,453,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
,,453,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,453,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,453,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,453,,,2026-07-20: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260720,,FETCH_ERROR
,,453,,,2026-07-21: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260721,,FETCH_ERROR
,,453,,,2026-07-22: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260722,,FETCH_ERROR
2026-07-19,Washington Mystics @ Golden State Valkyries,453,[],[],,Shakira Austin,AMBIGUOUS_OR_MISSING
,,454,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
,,454,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,454,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,454,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,454,,,2026-07-20: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260720,,FETCH_ERROR
,,454,,,2026-07-21: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260721,,FETCH_ERROR
,,454,,,2026-07-22: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260722,,FETCH_ERROR
2026-07-19,Washington Mystics @ Golden State Valkyries,454,[],[],,Shakira Austin,AMBIGUOUS_OR_MISSING
,,470,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
,,470,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,470,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,470,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,470,,,2026-07-20: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260720,,FETCH_ERROR
