generated_at_utc,promotion_state,forward_predictions_total,graded_predictions,pending_predictions,explicit_close_predictions,explicit_clv_coverage_pct,v5_brier,market_brier,v5_ece_5bin,v5_accuracy,roi,production_ready,canonical_forward_markets_total,canonical_graded_markets,canonical_pending_markets,snapshot_ledger_rows,snapshot_graded_rows
2026-08-12T12:30:15.950984+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T12:33:23.637868+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T14:05:11.210511+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T14:07:09.175562+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T15:34:04.121866+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T15:38:10.005039+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T16:33:29.191055+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T16:35:53.152975+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T17:38:01.394804+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T17:41:10.862870+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T18:33:37.076405+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T18:35:41.434940+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T19:44:35.670731+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T19:48:35.802090+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T21:26:34.139666+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T21:28:34.836023+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T22:24:10.846758+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T22:24:53.944702+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T23:21:44.358912+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T23:24:07.509103+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T00:41:57.843789+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T00:45:14.564389+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T03:15:48.474178+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T03:56:01.567610+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T05:23:25.155414+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T06:05:44.962094+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T07:04:30.981961+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T08:05:17.653489+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T08:56:18.798537+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T09:46:29.151464+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T10:45:02.613232+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T11:26:43.484466+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T12:31:08.219924+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
