archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,market_implied_probability,model_score,score_band,prior_games,prior_actual_mean,prior_actual_std,prior_actual_min,prior_actual_max,rolling3_actual_mean,rolling5_actual_mean,rolling10_actual_mean,rolling5_actual_std,rolling10_actual_std,rolling5_trend_slope,rolling10_trend_slope,line_minus_prior_mean,historical_hit_rate_at_current_line,historical_hit_rate_l5_at_current_line,historical_hit_rate_l10_at_current_line,target_actual,target_win,canonical_outcome,certification
85,2026-07-13,401857064,Rhyne Howard,PTS,UNDER,19.5,-104.0,0.5098039215686274,,UNKNOWN,0,,,,,,,,,,,,,,,,11.0,1,WIN,PRIMARY_CERTIFIED
118,2026-07-13,401857064,Rhyne Howard,PTS,UNDER,19.5,-105.5,0.51338199513382,,UNKNOWN,0,,,,,,,,,,,,,,,,11.0,1,WIN,PRIMARY_CERTIFIED
76,2026-07-13,401857064,Rhyne Howard,PTS,UNDER,20.5,-126.0,0.5575221238938053,,UNKNOWN,0,,,,,,,,,,,,,,,,11.0,1,WIN,PRIMARY_CERTIFIED
96,2026-07-13,401857064,Rhyne Howard,RA,UNDER,8.5,-154.0,0.6062992125984252,,UNKNOWN,0,,,,,,,,,,,,,,,,8.0,1,WIN,PRIMARY_CERTIFIED
87,2026-07-13,401857065,Alyssa Thomas,AST,UNDER,8.5,-158.0,0.6124031007751938,,UNKNOWN,0,,,,,,,,,,,,,,,,12.0,0,LOSS,PRIMARY_CERTIFIED
79,2026-07-13,401857065,Alyssa Thomas,RA,UNDER,15.5,-126.0,0.5575221238938053,,UNKNOWN,0,,,,,,,,,,,,,,,,20.0,0,LOSS,PRIMARY_CERTIFIED
114,2026-07-13,401857065,Alyssa Thomas,RA,UNDER,15.5,-140.0,0.5833333333333334,,UNKNOWN,0,,,,,,,,,,,,,,,,20.0,0,LOSS,PRIMARY_CERTIFIED
67,2026-07-13,401857065,Alyssa Thomas,REB,UNDER,7.5,-150.0,0.6,,UNKNOWN,0,,,,,,,,,,,,,,,,8.0,0,LOSS,PRIMARY_CERTIFIED
68,2026-07-13,401857065,Courtney Williams,RA,OVER,8.5,-149.0,0.5983935742971888,,UNKNOWN,0,,,,,,,,,,,,,,,,10.0,1,WIN,PRIMARY_CERTIFIED
92,2026-07-13,401857065,Courtney Williams,RA,OVER,9.5,116.0,0.46296296296296297,,UNKNOWN,0,,,,,,,,,,,,,,,,10.0,1,WIN,PRIMARY_CERTIFIED
123,2026-07-13,401857065,Courtney Williams,RA,OVER,9.5,0.0,,,UNKNOWN,0,,,,,,,,,,,,,,,,10.0,1,WIN,PRIMARY_CERTIFIED
63,2026-07-13,401857065,Kahleah Copper,REB,OVER,3.5,-136.4,0.5769881556683587,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,0,LOSS,PRIMARY_CERTIFIED
98,2026-07-13,401857065,Kahleah Copper,REB,OVER,3.5,-126.4,0.558303886925795,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,0,LOSS,PRIMARY_CERTIFIED
93,2026-07-13,401857065,Kayla McBride,PA,OVER,19.5,-113.5,0.531615925058548,,UNKNOWN,0,,,,,,,,,,,,,,,,38.0,1,WIN,PRIMARY_CERTIFIED
127,2026-07-13,401857065,Kayla McBride,PA,OVER,19.5,-111.5,0.5271867612293144,,UNKNOWN,0,,,,,,,,,,,,,,,,38.0,1,WIN,PRIMARY_CERTIFIED
80,2026-07-13,401857065,Kayla McBride,PR,OVER,19.5,-130.0,0.5652173913043478,,UNKNOWN,0,,,,,,,,,,,,,,,,43.0,1,WIN,PRIMARY_CERTIFIED
113,2026-07-13,401857065,Kayla McBride,PR,OVER,19.5,-123.0,0.5515695067264574,,UNKNOWN,0,,,,,,,,,,,,,,,,43.0,1,WIN,PRIMARY_CERTIFIED
89,2026-07-13,401857065,Kayla McBride,PRA,OVER,22.5,-122.5,0.550561797752809,,UNKNOWN,0,,,,,,,,,,,,,,,,44.0,1,WIN,PRIMARY_CERTIFIED
122,2026-07-13,401857065,Kayla McBride,PRA,OVER,22.5,-120.75,0.5469988674971688,,UNKNOWN,0,,,,,,,,,,,,,,,,44.0,1,WIN,PRIMARY_CERTIFIED
65,2026-07-13,401857065,Kayla McBride,PTS,OVER,16.5,-66.6,0.3997599039615846,,UNKNOWN,0,,,,,,,,,,,,,,,,37.0,1,WIN,PRIMARY_CERTIFIED
101,2026-07-13,401857065,Kayla McBride,PTS,OVER,16.5,-111.4,0.5269631031220435,,UNKNOWN,0,,,,,,,,,,,,,,,,37.0,1,WIN,PRIMARY_CERTIFIED
97,2026-07-13,401857065,Natasha Howard,AST,OVER,1.5,-193.0,0.658703071672355,,UNKNOWN,0,,,,,,,,,,,,,,,,7.0,1,WIN,PRIMARY_CERTIFIED
83,2026-07-13,401857065,Nia Coffey,3PM,UNDER,1.5,-173.0,0.6336996336996337,,UNKNOWN,0,,,,,,,,,,,,,,,,1.0,1,WIN,PRIMARY_CERTIFIED
115,2026-07-13,401857065,Nia Coffey,3PM,UNDER,1.5,-170.5,0.6303142329020333,,UNKNOWN,0,,,,,,,,,,,,,,,,1.0,1,WIN,PRIMARY_CERTIFIED
126,2026-07-13,401857065,Nia Coffey,PA,UNDER,9.5,-108.0,0.5192307692307693,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
69,2026-07-13,401857065,Nia Coffey,PA,UNDER,10.5,-128.0,0.5614035087719298,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
120,2026-07-13,401857065,Nia Coffey,PR,UNDER,12.5,-103.0,0.5073891625615764,,UNKNOWN,0,,,,,,,,,,,,,,,,8.0,1,WIN,PRIMARY_CERTIFIED
72,2026-07-13,401857065,Nia Coffey,PR,UNDER,13.5,-126.0,0.5575221238938053,,UNKNOWN,0,,,,,,,,,,,,,,,,8.0,1,WIN,PRIMARY_CERTIFIED
106,2026-07-13,401857065,Nia Coffey,PR,UNDER,13.5,-130.0,0.5652173913043478,,UNKNOWN,0,,,,,,,,,,,,,,,,8.0,1,WIN,PRIMARY_CERTIFIED
