player_id,season,team,source_player_id,player,team_abbr,position,source_system,source_file
pl_af08ce42951fb6d0,2026,NIGERIA,5346855,Jemi Klaku,NIGER,F,espn_api,player_profiles_2026.csv
pl_b0ea006be021bdbe,2024,Mercury,585,Diana Taurasi,PHX,G,sportsdataverse,player_profiles_2024.csv
pl_b0ea006be021bdbe,2024,Team USA,585,Diana Taurasi,USA,G,sportsdataverse,player_profiles_2024.csv
pl_b13a41f2db332afd,2026,NIGERIA,5346854,Regina Donanu,NIGER,F,espn_api,player_profiles_2026.csv
pl_b1f8a1c001b84d2d,2024,Mystics,4281253,DiDi Richards,WSH,G,sportsdataverse,player_profiles_2024.csv
pl_b24f032c6d840336,2025,Fever,1107,Shey Peddy,IND,G,sportsdataverse,player_profiles_2025.csv
pl_b24f032c6d840336,2025,Sparks,1107,Shey Peddy,LA,G,sportsdataverse,player_profiles_2025.csv
pl_b24f032c6d840336,2026,Sun,1107,Shey Peddy,CON,G,espn_api,player_profiles_2026.csv
pl_b29c9020cace31b6,2026,Mystics,4583144,Cotie McMahon,WSH,G,espn_api,player_profiles_2026.csv
pl_b2a0117cc3fe0fc8,2026,Sun,4682860,Kyla Oldacre,CON,C,espn_api,player_profiles_2026.csv
pl_b2e70cf920731cfe,2025,Wings,4704417,Ajae Petty,DAL,F,sportsdataverse,player_profiles_2025.csv
pl_b602e33a84c8896a,2024,Dream,4281183,Lorela Cubaj,ATL,F,sportsdataverse,player_profiles_2024.csv
pl_bae275cf69e5c648,2026,Tempo,3910470,Maria Conde,TOR,F,espn_api,player_profiles_2026.csv
pl_bba3b5d0b6f11cd4,2026,Liberty,4433744,Ugonne Onyiah,NY,C,espn_api,player_profiles_2026.csv
pl_bda9fcea35624009,2024,Sky,3058908,Lindsay Allen,CHI,G,sportsdataverse,player_profiles_2024.csv
pl_bda9fcea35624009,2025,Sun,3058908,Lindsay Allen,CON,G,sportsdataverse,player_profiles_2025.csv
pl_bda9fcea35624009,2026,Wings,3058908,Lindsay Allen,DAL,G,espn_api,player_profiles_2026.csv
pl_be910958c10a81a8,2024,Lynx,4433635,Diamond Miller,MIN,F,sportsdataverse,player_profiles_2024.csv
pl_be910958c10a81a8,2025,Lynx,4433635,Diamond Miller,MIN,F,sportsdataverse,player_profiles_2025.csv
pl_be910958c10a81a8,2025,Wings,4433635,Diamond Miller,DAL,F,sportsdataverse,player_profiles_2025.csv
pl_be910958c10a81a8,2026,Sun,4433635,Diamond Miller,CON,F,espn_api,player_profiles_2026.csv
pl_bf30cc0b721c45bc,2026,Sun,4899316,Harmoni Turner,CON,G,espn_api,player_profiles_2026.csv
pl_c25b9ca19802378e,2025,Lynx,2325299,Yvonne Anderson,MIN,G,sportsdataverse,player_profiles_2025.csv
pl_c3118aa754391b29,2024,Lynx,4257500,Cecilia Zandalasini,MIN,F,sportsdataverse,player_profiles_2024.csv
pl_c3118aa754391b29,2025,Valkyries,4257500,Cecilia Zandalasini,GS,F,sportsdataverse,player_profiles_2025.csv
pl_c3118aa754391b29,2026,Valkyries,4257500,Cecilia Zandalasini,GS,F,espn_api,player_profiles_2026.csv
pl_c3d93d9bdcae9083,2024,Dream,2999035,Aerial Powers,ATL,G,sportsdataverse,player_profiles_2024.csv
pl_c3d93d9bdcae9083,2025,Fever,2999035,Aerial Powers,IND,G,sportsdataverse,player_profiles_2025.csv
pl_c3d93d9bdcae9083,2025,Valkyries,2999035,Aerial Powers,GS,G,sportsdataverse,player_profiles_2025.csv
pl_c48533777f251871,2026,Sparks,5107515,Laura Ziegler,LA,F,espn_api,player_profiles_2026.csv
pl_c5aaf4bd7b119958,2026,Sky,4858656,Gabriela Jaquez,CHI,G,espn_api,player_profiles_2026.csv
pl_c614df327b6fb1f6,2025,Mercury,5220167,Murjanatu Musa,PHX,C,sportsdataverse,player_profiles_2025.csv
pl_c638f23a981646dc,2024,Mercury,3142255,Monique Billings,PHX,F,sportsdataverse,player_profiles_2024.csv
pl_c638f23a981646dc,2024,Wings,3142255,Monique Billings,DAL,F,sportsdataverse,player_profiles_2024.csv
pl_c638f23a981646dc,2025,Valkyries,3142255,Monique Billings,GS,F,sportsdataverse,player_profiles_2025.csv
pl_c638f23a981646dc,2026,Fever,3142255,Monique Billings,IND,F,espn_api,player_profiles_2026.csv
pl_c6885718033c2044,2026,Lynx,5109356,Jade Masogayo,MIN,F,espn_api,player_profiles_2026.csv
pl_c6c674b15e584eb9,2024,Lynx,5105752,Alissa Pili,MIN,F,sportsdataverse,player_profiles_2024.csv
pl_c6c674b15e584eb9,2025,Lynx,5105752,Alissa Pili,MIN,F,sportsdataverse,player_profiles_2025.csv
pl_c6c674b15e584eb9,2025,Sparks,5105752,Alissa Pili,LA,F,sportsdataverse,player_profiles_2025.csv
pl_c6c674b15e584eb9,2026,Sparks,5105752,Alissa Pili,LA,F,espn_api,player_profiles_2026.csv
pl_c6d27cc42c66a0fc,2025,Mystics,4433524,Sonia Citron,WSH,G,sportsdataverse,player_profiles_2025.csv
pl_c6d27cc42c66a0fc,2025,TEAM CLARK,4433524,Sonia Citron,CLA,G,sportsdataverse,player_profiles_2025.csv
pl_c6d27cc42c66a0fc,2026,Mystics,4433524,Sonia Citron,WSH,G,espn_api,player_profiles_2026.csv
pl_c6d27cc42c66a0fc,2026,TEAM COOP,4433524,Sonia Citron,COOP,G,espn_api,player_profiles_2026.csv
pl_c766f7ba9005db8e,2025,Wings,4398965,Christyn Williams,DAL,G,sportsdataverse,player_profiles_2025.csv
pl_c79dbae9348870a3,2026,Aces,5220104,Mai Yamamoto,LV,G,espn_api,player_profiles_2026.csv
pl_c7f6e677d6a53d04,2026,Lynx,4433542,Saylor Poffenbarger,MIN,G,espn_api,player_profiles_2026.csv
pl_c7f6e677d6a53d04,2026,Sky,4433542,Saylor Poffenbarger,CHI,G,espn_api,player_profiles_2026.csv
pl_c8136e1562f21dcd,2025,Dream,4898400,Taylor Thierry,ATL,F,sportsdataverse,player_profiles_2025.csv
pl_c8136e1562f21dcd,2026,Dream,4898400,Taylor Thierry,ATL,F,espn_api,player_profiles_2026.csv
pl_c8136e1562f21dcd,2026,Storm,4898400,Taylor Thierry,SEA,F,espn_api,player_profiles_2026.csv
pl_c86fb276d5b0d670,2024,Storm,4420318,Ezi Magbegor,SEA,F,sportsdataverse,player_profiles_2024.csv
pl_c86fb276d5b0d670,2025,Storm,4420318,Ezi Magbegor,SEA,F,sportsdataverse,player_profiles_2025.csv
pl_c86fb276d5b0d670,2026,Storm,4420318,Ezi Magbegor,SEA,F,espn_api,player_profiles_2026.csv
pl_c8c0e0c1fb9ec4ed,2024,Sun,4066548,DiJonai Carrington,CON,G,sportsdataverse,player_profiles_2024.csv
pl_c8c0e0c1fb9ec4ed,2025,Lynx,4066548,DiJonai Carrington,MIN,G,sportsdataverse,player_profiles_2025.csv
