row_number,candidate_id,date,player,game,stat,side,line,outcome,category,reason,existing_grading_reason
263,2026-07-15|nneka ogwumike|los angeles sparks @ minnesota lynx|pa|over|20.5||-115.5,2026-07-15,Nneka Ogwumike,Los Angeles Sparks @ Minnesota Lynx,PA,OVER,20.5,WIN,graded,final outcome WIN,
264,2026-07-15|ariel atkins|los angeles sparks @ minnesota lynx|reb|over|2.5||-164.5,2026-07-15,Ariel Atkins,Los Angeles Sparks @ Minnesota Lynx,REB,OVER,2.5,LOSS,graded,final outcome LOSS,
265,2026-07-15|paige bueckers|new york liberty @ dallas wings|ast|under|6.5||-142.0,2026-07-15,Paige Bueckers,New York Liberty @ Dallas Wings,AST,UNDER,6.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
266,2026-07-15|kamilla cardoso|seattle storm @ chicago sky|pra|under|26.5||-121.5,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,PRA,UNDER,26.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
267,2026-07-15|kamilla cardoso|seattle storm @ chicago sky|pr|under|23.5||-113.5,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,PR,UNDER,23.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
268,2026-07-15|kayla mcbride|los angeles sparks @ minnesota lynx|reb|over|3.5||3.0,2026-07-15,Kayla McBride,Los Angeles Sparks @ Minnesota Lynx,REB,OVER,3.5,LOSS,graded,final outcome LOSS,
269,2026-07-16|monique akoa makani|connecticut sun @ phoenix mercury|ra|under|7.5||-140.0,2026-07-17,Monique Akoa Makani,Connecticut Sun @ Phoenix Mercury,RA,UNDER,7.5,WIN,graded,final outcome WIN,
270,2026-07-16|isabelle harrison|atlanta dream @ toronto tempo|ast|under|2.5||-192.0,2026-07-17,Isabelle Harrison,Atlanta Dream @ Toronto Tempo,AST,UNDER,2.5,WIN,graded,final outcome WIN,
271,2026-07-16|kelsey mitchell|seattle storm @ indiana fever|3pm|over|2.5||-144.0,2026-07-17,Kelsey Mitchell,Seattle Storm @ Indiana Fever,3PM,OVER,2.5,WIN,graded,final outcome WIN,
272,2026-07-16|kelsey mitchell|seattle storm @ indiana fever|ast|over|2.5||-161.0,2026-07-17,Kelsey Mitchell,Seattle Storm @ Indiana Fever,AST,OVER,2.5,LOSS,graded,final outcome LOSS,
